Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
2451,PP1,323,5,POPE, O14
2452,PP1,310,60,POPE, O13
2452,PP1,323,5,POPE, O14
2453,PP1,310,60,POPE, O13
2453,PP1,323,5,POPE, O14
2454,PP1,310,60,POPE, O13
2454,PP1,323,5,POPE, O14
2455,PP1,310,60,POPE, O13
2455,PP1,323,5,POPE, O14
2456,PP1,310,60,POPE, O13
2456,PP1,323,5,POPE, O14
2457,PP1,310,60,POPE, O13
2457,PP1,323,5,POPE, O14
2458,PP1,310,60,POPE, O13
2458,PP1,323,5,POPE, O14
2459,PP1,310,60,POPE, O13
2459,PP1,323,5,POPE, O14
2460,PP1,310,60,POPE, O13
2460,PP1,323,5,POPE, O14
2461,PP1,310,60,POPE, O13
2461,PP1,323,5,POPE, O14 P
2462,PP1,310,60,POPE, O13
2462,PP1,323,5,POPE, O14
2463,PP1,310,60,POPE, O13
2463,PP1,323,5,POPE, O14
2464,PP1,310,60,POPE, O13
2464,PP1,323,5,POPE, O14
2465,PP1,310,60,POPE, O13
2465,PP1,323,5,POPE, O14
2466,PP1,310,60,POPE, O13
2466,PP1,323,5,POPE, O14
2467,PP1,310,60,POPE, O13
2467,PP1,323,5,POPE, O14
2468,PP1,310,60,POPE, O13
2468,PP1,323,5,POPE, O14
2469,PP1,310,60,POPE, O13
2469,PP1,323,5,POPE, O14
2470,PP1,310,60,POPE, O13
2470,PP1,323,5,POPE, O14
2471,PP1,310,60,POPE, O13
2471,PP1,323,5,POPE, O14
2472,PP1,310,60,POPE, O13
2472,PP1,323,5,POPE, O14
2473,PP1,310,60,POPE, O13
2473,PP1,323,5,POPE, O14
2474,PP1,310,60,POPE, O13
2474,PP1,323,5,POPE, O14
2475,PP1,310,60,POPE, O13
2475,PP1,323,5,POPE, O14
2476,PP1,310,60,POPE, O13
2476,PP1,323,5,POPE, O14
2477,PP1,310,60,POPE, O13
2477,PP1,323,5,POPE, O14
2478,PP1,310,60,POPE, O13
2478,PP1,323,5,POPE, O14
2479,PP1,310,60,POPE, O13 P
2479,PP1,323,5,POPE, O14 P
2480,PP1,310,60,POPE, O13 P
2480,PP1,323,5,POPE, O14
2481,PP1,310,60,POPE, O13
2481,PP1,323,5,POPE, O14
2482,PP1,310,60,POPE, O13 P
2482,PP1,323,5,POPE, O14
2483,PP1,310,60,POPE, O13
2483,PP1,323,5,POPE, O14 P
2484,PP1,310,60,POPE, O13
2484,PP1,323,5,POPE, O14
2485,PP1,310,60,POPE, O13
2485,PP1,323,5,POPE, O14
2486,PP1,310,60,POPE, O13
2486,PP1,323,5,POPE, O14 P
2487,PP1,310,60,POPE, O13
2487,PP1,323,5,POPE, O14
2488,PP1,310,60,POPE, O13
2488,PP1,323,5,POPE, O14
2489,PP1,310,60,POPE, O13
2489,PP1,323,5,POPE, O14
2490,PP1,310,60,POPE, O13 P
2490,PP1,323,5,POPE, O14
2491,PP1,310,60,POPE, O13
2491,PP1,323,5,POPE, O14
2492,PP1,310,60,POPE, O13
2492,PP1,323,5,POPE, O14
2493,PP1,310,60,POPE, O13
2493,PP1,323,5,POPE, O14
2494,PP1,310,60,POPE, O13
2494,PP1,323,5,POPE, O14
2495,PP1,310,60,POPE, O13
2495,PP1,323,5,POPE, O14
2496,PP1,310,60,POPE, O13
2496,PP1,323,5,POPE, O14
2497,PP1,310,60,POPE, O13
2497,PP1,323,5,POPE, O14
2498,PP1,310,60,POPE, O13
2498,PP1,323,5,POPE, O14
2499,PP1,310,60,POPE, O13
2499,PP1,323,5,POPE, O14
2500,PP1,310,60,POPE, O13
2500,PP1,323,5,POPE, O14
2501,PP1,310,60,POPE, O13
2501,PP1,323,5,POPE, O14
2502,PP1,310,60,POPE, O13
2502,PP1,323,5,POPE, O14
2503,PP1,310,60,POPE, O13
2503,PP1,323,5,POPE, O14
2504,PP1,310,60,POPE, O13
2504,PP1,323,5,POPE, O14
2505,PP1,310,60,POPE, O13
2505,PP1,323,5,POPE, O14
2506,PP1,310,60,POPE, O13
2506,PP1,323,5,POPE, O14
2507,PP1,310,60,POPE, O13
2507,PP1,323,5,POPE, O14
2508,PP1,310,60,POPE, O13
2508,PP1,323,5,POPE, O14
2509,PP1,310,60,POPE, O13
2509,PP1,323,5,POPE, O14
2510,PP1,310,60,POPE, O13
2510,PP1,323,5,POPE, O14
2511,PP1,310,60,POPE, O13
2511,PP1,323,5,POPE, O14
2512,PP1,310,60,POPE, O13
2512,PP1,323,5,POPE, O14
2513,PP1,310,60,POPE, O13
2513,PP1,323,5,POPE, O14
2514,PP1,310,60,POPE, O13
2514,PP1,323,5,POPE, O14
2515,PP1,310,60,POPE, O13
2515,PP1,323,5,POPE, O14
2516,PP1,310,60,POPE, O13
2516,PP1,323,5,POPE, O14
2517,PP1,310,60,POPE, O13
2517,PP1,323,5,POPE, O14
2518,PP1,310,60,POPE, O13
2518,PP1,323,5,POPE, O14
2519,PP1,310,60,POPE, O13
2519,PP1,323,5,POPE, O14
2520,PP1,310,60,POPE, O13
2520,PP1,323,5,POPE, O14 P
2521,PP1,310,60,POPE, O13
2521,PP1,323,5,POPE, O14 P
2522,PP1,310,60,POPE, O13
2522,PP1,323,5,POPE, O14
2523,PP1,310,60,POPE, O13
2523,PP1,323,5,POPE, O14
2524,PP1,310,60,POPE, O13
2524,PP1,323,5,POPE, O14
2525,PP1,310,60,POPE, O13
2525,PP1,323,5,POPE, O14
2526,PP1,310,60,POPE, O13
2526,PP1,323,5,POPE, O14
2527,PP1,310,60,POPE, O13
