Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
74,PP1,323,5539,5,POPE, O14
74,PP1,323,5586,5,POPE, O14
75,PP1,310,3739,,, 
75,PP1,310,4054,60,POPE, O13 O14
75,PP1,310,4452,60 74,POPE, O13 O14 P
75,PP1,323,5514,,, 
75,PP1,323,5539,5,POPE, O12 O14
75,PP1,323,5586,5,POPE, O14
76,PP1,310,3739,74,POPE, HN1
76,PP1,310,4054,60,POPE, O13
76,PP1,310,4452,60 74,POPE, O11 O13 O14 P
76,PP1,323,5514,,, 
76,PP1,323,5539,5,POPE, HN3 O14
76,PP1,323,5586,5,POPE, O14
77,PP1,310,3739,74,POPE, HN1 HN3 N O12 O13
77,PP1,310,4054,60,POPE, O13
77,PP1,310,4452,60 74,POPE, HN1 O12 O13 O14 P
77,PP1,323,5514,,, 
77,PP1,323,5539,5,POPE, O14
77,PP1,323,5586,5,POPE, O14
78,PP1,310,3739,59 74,POPE, HN1 HN2 HN3 N O12 O14 P
78,PP1,310,4054,60,POPE, O13 O14
78,PP1,310,4452,59 60,POPE, O13 O14 P
78,PP1,323,5514,,, 
78,PP1,323,5539,5,POPE, O14
78,PP1,323,5586,5,POPE, O14
79,PP1,310,3739,59 74,POPE, HN1 O12 O14 P
79,PP1,310,4054,59 60,POPE, O13 O14
79,PP1,310,4452,59 60 74,POPE, O13 O14 P
79,PP1,323,5514,,, 
79,PP1,323,5539,5,POPE, O14
79,PP1,323,5586,5,POPE, O14
80,PP1,310,3739,,, 
80,PP1,310,4054,60,POPE, O13
80,PP1,310,4452,59 60 74,POPE, HN3 O13 O14 P
80,PP1,323,5514,,, 
80,PP1,323,5539,5,POPE, O14
80,PP1,323,5586,5,POPE, O14
81,PP1,310,3739,59 74,POPE, HN1 HN2 O14
81,PP1,310,4054,59 60,POPE, O13 O14
81,PP1,310,4452,60 74,POPE, O13 O14
81,PP1,323,5514,,, 
81,PP1,323,5539,5,POPE, HN2 O12 O14
81,PP1,323,5586,5,POPE, O14
82,PP1,310,3739,74,POPE, HN1 HN3 N O14
82,PP1,310,4054,60,POPE, O13
82,PP1,310,4452,60 74,POPE, HN1 O12 O13 O14 P
82,PP1,323,5514,,, 
82,PP1,323,5539,5,POPE, O14
82,PP1,323,5586,5,POPE, O14
83,PP1,310,3739,74,POPE, O14
83,PP1,310,4054,126 60,POPE POPG, O13 O14 OC3
83,PP1,310,4452,60 74,POPE, HN3 O13 O14
